2020-08-25 05:50:30,908(HH:mm) | INFO |DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-25 05:50:30,918(HH:mm) | INFO |ManagedManagementStrategy.java 205 | JMX is enabled
2020-08-25 05:50:41,374(HH:mm) | INFO |DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2020-08-25 05:50:41,534(HH:mm) | INFO |DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-08-25 05:50:41,590(HH:mm) | INFO |DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input
2020-08-25 05:50:41,591(HH:mm) | INFO |DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2020-08-25 05:50:41,616(HH:mm) | INFO |DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 10.693 seconds
2020-08-25 05:50:46,620(HH:mm) | INFO |DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2020-08-25 05:50:46,621(HH:mm) | INFO |DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2020-08-25 05:50:46,629(HH:mm) | INFO |DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-08-25 05:50:46,629(HH:mm) | INFO |DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2020-08-25 05:50:46,701(HH:mm) | INFO |DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 15.803 seconds
2020-08-25 05:50:46,701(HH:mm) | INFO |DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.081 seconds
2020-08-25 05:52:34,018 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-25 05:52:34,022 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2020-08-25 05:52:44,285 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2020-08-25 05:52:44,438 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-08-25 05:52:44,500 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input
2020-08-25 05:52:44,500 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2020-08-25 05:52:44,504 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 10.487 seconds
2020-08-25 05:52:49,510 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2020-08-25 05:52:49,511 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2020-08-25 05:52:49,518 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input
2020-08-25 05:52:49,518 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2020-08-25 05:52:49,548 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 15.533 seconds
2020-08-25 05:52:49,548 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.038 seconds
2020-08-25 05:54:44,303 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2020-08-25 05:54:44,307 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2020-08-25 05:54:54,569 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2020-08-25 05:54:54,721 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2020-08-25 05:54:54,726 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2020-08-25 05:54:54,726 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2020-08-25 05:54:54,774 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: file://data/input?noop=true
2020-08-25 05:54:54,775 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2020-08-25 05:54:54,779 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 10.476 seconds
2020-08-25 05:54:59,784 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
